courseType,courseNumber,courseTitle
ID,2050,SOC SCI RES-IQP-Paraguay (WI)
ID,2050,SOC SCI RES-IQP- Romania (WI)
WPE,1237,Club Sport – Outing Club: Climbing
HU,3900,INQ SEM: Philosophy of Film
AR,2301,Graphic Design
WPE,1699,ST in Holistic Well-Being: Intuitive eating
DS,598,Graduate Qualifying Project
MIS,576,Project Management
BCB,555,Journal Club in Quantitative Cell Biology
HU,3910,PRAC IN HUA: Directing & Dramaturgy (SP25)
CE,3008,Design Of Reinforced Concrete Structures
PY,3711,Topics In Philosophy: Marxism and Capitalism
WPE,1012,Basketball
MA,4216,Actuarial Seminar
BB,1004,Human Biology
GN,3511,Advanced German I: Exploration and Innovation in the German-Speaking World
GE,2341,Geology
CS,565,User Modeling
ID,2050,SOC SCI RES-IQP-Germany (WI)
HU,3910,PRAC IN HUA: Instrumental Music Performance
CS,4516,Advanced Computer Networks
EDU,2200,Community Engagement & Pre-Practicum in Teaching
PH,511,Classical Mechanics I
BME,533,Medical Device Innovation and Development
ISE,2800,Research Writing for English Language Learners
DS,501,Introduction To Data Science
MA,543,Statistical Methods For Data Science
IMGD,2700,Digital Painting
MTE,594,ST: Printed Electronics and Sensors
CS,4099,ST: Graph Machine Learning
WPE,1230,Club Sport - Competitive Climbing Co-Ed
MA,521,Partial Differential Equations
AREN,2023,Introduction To Architectural Engineering Systems
CN,3541,Advanced Intermediate Chinese I
EDU,4100,"Teaching Methods in Science, Technology, Engineering, and Mathematics"
MA,3257,Numerical Methods For Linear And Nonlinear Systems
CE,590,ST: Degradation of Infrastructure
PH,3504,Optics
INTL,2910,Topics In Global Studies: Religion in Modern China
BB,4260,Synthetic Biology
SD,1510,Introduction To System Dynamics Modeling
INTL,2320,Environmental Justice in the Global Caribbean and Latin America
FP,3080,Introduction To Building Fires Safety System Design
CH,555,AT: Introduction to Sensor Science and Technology
HU,3900,INQ SEM: TBA
MU,2403,Chamber Choir
MIS,571,Database Applications Design And Development
BUS,2080,Data Analysis For Decision Making
MA,549,Analysis of Lifetime Data
CHE,565,Advanced Process Engineering
AE,5232,Spacecraft Propulsion
PY,1731,Introduction To Philosophy And Religion
MIS,3787,Business Applications Of Machine Learning
OIE,3410,Materials Management In Supply Chains
ETR,593,Technology Commercialization
CN,3571,Contemporary China: Culture and Trends
ID,2050,SOC SCI RES-IQP: Tirana (WI)
EN,3219,Advanced Creative Writing: Nonfiction
WPE,1227,Club Sport - Tennis
ME,5847,Materials for Electrochemical Energy Systems
MU,2420,Orchestra
CE,3074,Environmental Analysis
FY,1101,GPS: Our Unequal World
RBE,502,Robot Control
TH,2500,Fundamentals of Technical Theatre
BME,595,ST: Lab Automation
DS,2010,Data Science II: Modeling And Data Analysis
CE,590,ST: Advanced Geotechnical Engineering
MTE,5847,Materials for Electrochemical Energy Systems
WPE,1018,Volleyball
DS,4635,Data Analytics And Statistical Learning
CE,561,Advanced Principles Of Wastewater Treatment
CE,4061,Hydrology
IMGD,4900,Digital Game Design Studio
FP,555,"Detection, Alarm And Smoke Control"
MIS,4741,User Experience And Design
CS,4300,"Graphics, Simulation, and Aesthetics"
BB,2101,Foundations of Physiology
ECE,4011,Biomedical Signal Analysis
HU,3900,INQ SEM: Theory and Practice of Meditation
GN,1511,Elementary German I: Identities and Communities
PH,580,Graduate Seminar
ME,3901,Engineering Experimentation
ID,2050,"SOC SCI RES-IQP- Farm Stay, MA (WI)"
HU,3900,INQ SEM: Collections of W A M
AREN,3006,Advanced Hvac System Design
EDU,4200,Senior Seminar
ECE,531,Principles Of Detection And Estimation Theory
PSY,1400,Introduction To Psychological Science
CH,3520,Fundamentals of Applying Mathematical Methods in Chemistry and Biochemistry
HU,3910,PRAC IN HUA: Cinematic Production
CS,502,Operating Systems
MU,3201,Music in Time of Conflict
EN,3226,Strange And Strangers
CH,540,Regulation Of Gene Expression
HU,3900,INQ SEM: Power of Manifestos
BB,3920,Immunology
HI,2328,History Of Revolutions In The Twentieth Century
WPE,1699,ST in Holistic Well-Being: Finding Joy in the Visual Arts
HI,3331,Topics In The History Of European Science And Technology: The European Atom
HU,3910,PRAC IN HUA: Publicity & Management (SP26)
HU,3900,INQ SEM: Feminist Killjoys
WPE,1229,Club Sport - Men's Rugby
NEU,503,Computational Neuroscience
HU,3900,"INQ SEM: MCKIM, MEAD & WHITE & AMER ARCH 1870-1929"
SEME,524,"Probability, Statistics And Data Analysis I"
RBE,520,Biomechanics And Robotics
GOV,1320,Topics In International Politics
CE,2000,Analytical Mechanics I
HU,3900,INQ SEM HUA: Short Forms
PH,2101,Principles Of Thermodynamics
ECE,2112,Electromagnetic Fields
NEU,501,Neuroscience
PSY,4800,ST: Anxiety Disorders: Empirical Research and Treatment
ECE,537,Advanced Computer And Communications Networks
HU,3900,INQ SEM: Mapping History
ID,2050,SOC SCI RES-IQP- Singapore (WI)
MA,517,Mathematical Foundations For Data Science
WPE,1611,Introduction to Mindfulness
ECE,571,Machine Learning for Engineering Applications
MA,500,Basic Real Analysis
PY,2713,Bioethics
ID,2050,SOC SCI RES-IQP- Armenia (WI)
ME,5221,Control Of Nonlinear Dynamical Systems
ID,2050,"SOC SCI RES-IQP- MWROC MA, USA (WI)"
PY,2712,Social And Political Philosophy
CP,1000,"Coop: Altair Engineering, Inc."
CE,1030,Civil Engineering And Computer Fundamentals
ID,2050,SOC SCI RES-IQP: Venice (WI)
WPE,1204,Club Sport - Dance Team
HU,3910,PRAC IN HUA: Film Narratives in Play
HU,3910,PRAC IN HUA: Design (FA25)
WPE,1099,Healthy Alternative - Zumba
IMGD,6001,IMGD Career Colloquium
FIN,2070,Fundamentals of Finance
SP,3529,Caribbeanness: Voices Of The Spanish Caribbean
INTL,1100,Introduction To International And Global Studies
ECE,576,Applied Cryptography and Physical Attacks
BUS,651,Seminar on Designing and Conducting Research Studies
BUS,633,Quantitative Research Method
MFE,520,Axiomatic Design Of Manufacturing Processes
CE,4044,Foundation Engineering
FY,1101,GPS: Heal the World
PH,533,Advanced Electromagnetic Theory
SS,560,"Artificial Intelligence: Exploring Technology, Ethics and Policy"
CH,555,AT: Cannabis Chemistry
HU,3900,INQ SEM: Global Studies
HI,2913,Capitalism And Its Discontents
FY,1100,GPS: Climate Change
PSY,2406,Cross-Cultural Psychology
CS,4120,Analysis Of Algorithms
HU,3910,PRAC IN HUA: WasteWorks
AE,3430,Fundamentals of Composite Materials
OIE,4410,Case Studies In Industrial Engineering
OIE,501,Operations Management
ENV,3100,Adventures In Sustainable Urbanism
HI,2921,Topics In Modern European History
ID,525,ST: Value Creation for Graduate Research
CN,2541,Intermediate Chinese I
PH,2601,Photonics Laboratory
HI,2350,Topics In The History Of Science: The Planets
WR,2010,Elements Of Style
CS,3133,Foundations Of Computer Science
IMGD,3100,Novel Interfaces For Interactive Environments
WPE,1699,ST in Holistic Well-Being: Pranayama
CP,1000,Coop: Bel Air Finishing Corp.
CE,3070,Urban And Environmental Planning
DS,596,Independent Study - BSMS Credit
WPE,1209,Club Sport- Women's Rugby Team
FP,588,Practical Explosion Analysis: Case Studies in Energy Industry
BME,520,Biomechanics And Robotics
ID,2050,SOC SCI RES-IQP-Worc Tech Teacher Prep
CH,571,Seminar
ID,2050,SOC SCI RES-IQP- New Zealand (WI)
HU,3900,INQ SEM: Loaded Language
FY,1101,GPS: Smart & Sustainable Cities
AE,5093,ST: Scientific Deep Learning for Engineers
CE,590,SP: Environmental Health and Engineering
EN,2234,Modern American Novel
RBE,595,ST: Hands-On Autonomous Aerial Robotics
CN,2542,Intermediate Chinese II
WR,2450,Narrative Design for Interactive Media and Games
FY,1100,GPS: Shelter the World
BUS,599,Capstone Project
BB,3821,Microscopy Laboratory
CS,3516,Computer Networks
MTE,509,Electron Microscopy
PSY,2402,Social Psychology
HU,3910,PRAC IN HUA: Adapt/Modded Musical Instruments
FP,585,Explosion Dynamics
CS,3431,Database Systems I
ECON,2145,Behavioral Economics
INTL,4100,Senior Seminar In International And Global Studies
WPE,1601,Insight Program
CN,2544,Intermediate Chinese IV
EN,2281,World Literatures: The Best of Russian Literature
CE,3062,Hydraulics
DS,577,Machine Learning in Cybersecurity
IMGD,4600,Serious Games
DS,502,Statistical Methods For Data Science
CS,4100,Artificial Intelligence For Interactive Media And Games
MA,590,ST: TBD
ME,5381,Applied Elasticity
ME,593,ST: Printed Electronics and Sensors
IMGD,4099,Special Topics In IMGD: Death & Games
ME,4323,Fundamentals of Vehicle Drivetrain Systems
WR,1020,Introduction To Rhetoric
CS,4804,Data Visualization
FIN,3330,Financial Analytics
MME,525,"Probability, Statistics And Data Analysis II"
BCB,4001,Bioinformatics
MTE,580,Materials Science And Engineering Seminar
ECE,4902,Analog Integrated Circuit Design
ID,2050,"SOC SCI RES-IQP- Worcester, MA. (WI)"
BUS,632,Qualitative Research Methods
ID,2050,SOC SCI RES-IQP: Washington DC (WI)
MFE,531,Computer Integrated Manufacturing
OIE,548,Performance Analytics
AR,2750,Topics In Studio Art: Contemporary Miniature Painting
RE,3721,Topics In Religion: Buddhism
SP,2521,Intermediate Spanish I
FIN,530,Cryptocurrencies and Financial Markets
IMGD,2905,Data Analysis For Game Development
GOV,2100,Engineering and Public Policy
CS,4801,Introduction To Cryptography And Communication Security
AR,3700,Concept Art And Creative Illustration
MIS,4084,Business Intelligence
AE,3420,Fundamentals of Aerospace Structures
GN,3512,Advanced German II
MIS,2300,Business Applications of Blockchain
HI,2930,Topics in Latin American History
ME,5385,Metal Additive Manufacturing
BME,560,Physiology For Engineers
BME,595,ST: Biofabrication
PSY,3407,Psychology Of Gender
AE,5233,Combustion
ECON,2110,Intermediate Microeconomics
ID,2050,SOC SCI RES-IQP: New Zealand (WI)
HU,3900,IINQ SEM: Modern Architecture
CE,3044,Foundation Engineering
PH,563,Introduction to experimental methods in biophysics
SEME,565,User Modeling
FP,580,SP: Complex Decision Making
WPE,2011,Varsity Men's And Women's Indoor Track Team
BME,532,Medical Device Regulation
CS,554,Natural Language Processing
BME,4023,Biomedical Instrumentation Design
HU,2501,Stem-Inism
PSY,4800,ST In Psychological Science: Motivation Metacognition & Affect
ENV,2201,Planning For Sustainable Communities
HU,3900,INQ SEM: Gravity's Rainbow
CS,509,Design Of Software Systems
CHE,4063,Transport & Transformations In The Environment
RE,2721,Religion And Culture
HU,3900,INQ SEM: Histories of the Future
CH,2320,Organic Chemistry II
EN,2252,Science And Scientists In Modern Literature
CH,3510,Chemical Thermodynamics
GN,3513,Survey Of German Civilization And Culture From 1871 To The Present
DEV,550,Policy Evaluation
INTL,2100,Approaches To Global Studies
MU,3301,Topics In MIDI
CHE,509,Reactor Design And Kinetics
DEV,1200,International Development And Society
ECON,3117,Environmental Economics
CE,3010,Structural Engineering.
PSY,506,Learning and Creativity
EN,2219,Creative Writing: Poetry
ME,5361,Mechanical Behavior And Fracture Of Materials
AR,2114,"Modern Architecture In The American Era, 1750-2001 And Beyond"
ES,1020,Introduction To Engineering
ME,5420,Fundamentals Of Axiomatic Design Of Manufacturing Processes
SYS,540,Introduction To Systems Thinking
HI,3335,Topics In The History Of Non-Western Science And Technology: Ethnomathematics
BB,1002,Environmental Biology
ECON,1120,Introductory Macroeconomics
MU,2440,Percussion Ensemble
ME,4840,Physical Metallurgy
CS,5007,Introduction To Applications Of Computer Science With Data Structures And Algorithms
PH,3301,Electromagnetic Theory
HU,3900,INQ SEM: The Meaning of Life
AR,3101,3d Modeling II
OIE,549,Sustainable Supply Chain and Operations Management
ECE,2312,Discrete-Time Signal And System Analysis
FY,1800,Discovering Majors And Careers
BB,3950,Molecular Biology
FY,1101,GPS: Climate Change
CS,4241,Webware: Computational Technology For Network Information Systems
ETR,500,Entrepreneurship And Innovation
HU,3900,INQ SEM: Media Revolutions
SP,3521,Advanced Spanish I
EN,2219,Creative Writing: Fiction
ETR,4930,Growing And Managing New Ventures
IMGD,3200,Interactive Electronic Arts
EN,2281,World Literatures
MA,584,Statistical Methods In Genetics And Bioinformatics
PH,544,Fundamentals of Photonics
ID,2050,"SOC SCI RES-IQP- Worcester, MA"
FIN,3300,Finance & Technology
STS,4000,Senior Seminar In Global Public Health
HU,3900,INQ SEM: History of Sports
BUS,500,"Business Law, Ethics And Social Responsibility"
WPE,2002,Varsity Men's Soccer Team
CS,3043,Social Implications Of Information Processing
WR,1010,Elements Of Writing
CHE,3301,Introduction To Biological Engineering
OIE,559,Advanced Prescriptive Analytics: From Data to Impact
HU,3900,INQ SEM: ‘Illness Influencers’: Social Media and the Rhetoric of Authentic Suffering
TH,3200,Special Topics in Dramatic Literature: Queer Theatre
INTL,2510,Contemporary Europe: Union And Disunion
GOV,1310,"Law, Courts, And Politics"
ECE,5204,Analog Circuits And Intuition
BB,1003,Explrng Bioinfmtcs & Compu Bio
MA,547,Design and Analysis of Observational and Sampling Studies
HI,2315,The Shaping Of Post-1920 America
HI,2400,Topics In Environmental History: Global Environmental History
MKT,4030,Achieving Strategic Effectiveness
CS,4536,Programming Languages
AR,2750,Topics In Studio Art: Digital Photography
CH,3530,Quantum Chemistry
ME,528,Robot Dynamics
ISE,2820,Critical Reading of Our World for English Language Learners
MU,2431,Brass Ensemble
CE,583,Contracts And Law For Civil Engineers
HI,2329,European Empires
IMGD,5500,Serious and Applied Games
CS,551,Reinforcement Learning
ID,2050,SOC SCI RES-IQP: Cape Town (WI)
AE,4310,Fundamentals of Aircraft Dynamics and Control
BB,3102,Human Anatomy & Physiology: Transport And Maintenance
HU,3910,PRAC IN HUA: Performance & Dramaturgy (SP26)
PSY,504,"Meta-Cognition, Motivation, And Affect"
BB,4190,Regulation Of Gene Expression
EDU,4000,Topics in Teacher Preparation: Practicum Seminar
HU,3910,PRAC IN HUA: Literary Magazine Editing - hex literary
ID,2050,SOC SCI RES-IQP- Worcester UK (WI)
CHE,580,ST: Pathways to Chemical Engineering
AE,2550,Atmospheric And Space Environments
BME,595,ST: Wearable/Mobile Sensors and Systems
WPE,1205,Club Sport - Fencing Team
BME,595,ST: Value Creation for Graduate Research
ID,527,Fundamentals Of Scientific Teaching And Pedagogy
BB,2040,Principles Of Ecology
EN,1219,Introduction to Creative Writing
AE,5032,Aerospace Engineering Seminar
AE,2410,Introduction to Aerospace Structures
BUS,2020,The Legal Environment Of Business Decisions
MA,590,ST:Statistical Methods for Social and Behavioral Science
PH,2540,Solar Systems
FP,3070,Introduction To Fire Protection Engineering
ID,2050,"SOC SCI RES-IQP: San Jose, Costa Rica (WI)"
MFE,5843,Fundamentals of Surface Metrology
AB,1533,Elementary Arabic III
IDG,598,Systems Engineering Leadership Project
PY,2711,Epistemology
HU,3900,INQ SEM: TBD
BUS,594,Data-driven Business Strategy
CS,543,Computer Graphics
HI,2921,Topics In Modern European History: Mass Violence and Genocide
BME,3112,Human Physiology for Biomedical Engineers
ECE,574,Advanced Digital Systems Design
ME,5431,Computer Integrated Manufacturing
HU,3900,INQ SEM: Music and Society
HU,3900,INQ SEM: The Long Civil Rights Movement
SP,3528,Spanish Culture And Civilization
EN,2226,"Infected Shakespeare: Venereal Disease, Madness, Plague"
BME,2001,Introduction To Biomaterials
FIN,500,Financial Management
WPE,1699,"ST in Holistic Well-Being: Exploring the Impact of Nutrition on Brain, Body and Planet"
CN,1542,Elementary Chinese II
HU,3900,INQ SEM: Writing About Music
MU,2010,Jazz History
BB,1102,Foundations of Ecology and Environmental Biology
PSY,2403,Cognitive Psychology
AE,2210,Introduction to Thermal Engineering
ID,2050,SOC SCI RES- IQP: Kyoto (WI)
PY,2716,"Gender, Race, and Class"
SYS,579,ST: Systems Engineering Management and Leadership
CE,596,Graduate Seminar
MME,523,Analysis With Applications
HU,3900,INQ SEM: Rhetorics of Health and Illness
HU,3910,PRAC IN HUA: Arranging
MU,2450,Independent Instruction (Lessons) in Music
GN,2511,Intermediate German I: Cultural Practices and Products of the German-Speaking World
FP,554,Advanced Fire Suppression
NEU,590,ST in NEU: Human Neuroscience and Neurotechnology
PH,3503,Nuclear Physics
FY,1100,"GPS: AI, Design, and Society"
CH,544,Elucidation Of Organic Reaction Mechanisms
ES,2800,Environmental Impacts Of Engineering Decisions
IMGD,4700,Advanced Storytelling: Quest Logic And Level Design
BME,580,Biomedical Robotics
MA,590,ST: Scientific Machine Learning
WR,2310,Visual Rhetoric
PSY,2411,Social Neuroscience
ES,3001,Introduction To Thermodynamics
WPE,2007,Varsity Wrestling Team
AREN,3002,Architectural Design III
CS,547,Information Retrieval
AE,3110,Fundamentals of Compressible Fluid Dynamics
MA,546,Design and Analysis of Experiments
IMGD,5400,Production Management For Interactive Media
RBE,595,ST: Medical Imaging and Instrumentation
AR,2111,Modern Art
IMGD,3700,Concept Art And Creative Illustration
FP,580,ST: Complex Decision Making
WPE,2016,Varsity Women's Crew Team
IMGD,4100,Artificial Intelligence For Interactive Media And Games
ECE,556,On-Device Deep Learning
INTL,2110,Global Justice
IMGD,4403,Motion Capture Techniques
HU,2901,"Topics in Sexuality and LGBTQ+ Studies: Feminist, Queer, Crip"
NEU,502,Neural Plasticity
MA,514,Numerical Linear Algebra
AR,2750,Topics In Studio Art: Kinetic Art
ID,2050,SOC SCI RES-IQP: Bangkok (WI)
ME,500,Applied Analytical Methods in Engineering
AREN,2025,Building Electrical Systems
OIE,3405,Work Systems And Facilities Planning
WPE,1224,Club Sport - Cheerleading
HU,3900,INQ SEM: Writing Suspense
SYS,502,Business Practices
AE,5132,Compressible Fluid Dynamics
IMGD,2333,3d Animation I
HU,3900,INQ SEM: Playwriting
CN,1543,Elementary Chinese III
CS,553,Machine Learning Development and Operations
PH,562,Fundamentals of Soft Matter and Biophysics
RE,3711,Topics In Philosophy
AE,5334,Spacecraft Dynamics and Control
WPE,1699,ST in Holistic Well-Being: Sophomore Success-Navigating Your Second Year at WPI
ID,2050,"SOC SCI RES-IQP- Reykjavik, Iceland (WI)"
PH,2301,Electromagnetic Fields
HU,3900,INQ SEM IN HUA: The Concept Album: Past and Present
MA,4213,Loss Models I - Risk Theory
BME,595,ST: Computational Modeling for Biofluid and Medical Devices
ENV,2710,Designing for Climate Resilience and Justice
CE,5303,Applied Finite Element Methods In Engineering
BCB,510,BCB Seminar
CS,546,Human-Computer Interaction
AR,2750,"Topics In Studio Art: Aesthetics, Visual Design, and UI"
ID,2050,"SOC SCI RES-IQP- Panama City, Panama (WI)"
ECE,3012,Introduction To Control Systems Engineering
ME,5311,Structure And Properties Of Engineering Materials
IMGD,4200,History And Future Of Immersive And Interactive Media
IMGD,4099,Special Topics In IMGD: Real-Time VFX for Games and Interactive Media
AR,2048,Technical Art And Character Rigging
CE,3059,Environmental Engineering
PH,3206,Statistical Physics
ISE,1803,Oral Communication for English Language Learners
WPE,1232,Club Sport - Equestrian
SD,2520,Modeling Economic And Social Systems
MU,1100,Foundations of Music Theory and Aural Skills
PSY,2501,Music And Mind
HU,3900,INQ SEM: AI and Rhetorical Machines
PSY,2500,Psychology for Sustainability
CE,4600,Hazardous And Industrial Waste Management
AR,3112,"Modernism, Mass Culture, And The Avant-Garde"
ID,2050,SOC SCI RES-IQP- India (WI)
AE,3310,Fundamentals of Navigation and Communication
INTL,2420,"Middle East, North Africa and Mediterranean"
HI,2900,Topics in Gender and History: Women & Communism
OIE,597,Operations and Supply Chain Consulting Project
HU,3910,PRAC IN HUA: Documentary Short Video and Narrative Photography
WR,3214,Writing About Disease And Public Health
WPE,2001,Varsity Football Team
ID,3531,Contemporary Us Latino Literature & Culture
IMGD,1001,The Game Development Process
HU,3900,INQ SEM: Holocaust and Memory
CS,4731,Computer Graphics
RBE,3100,Social Implications Of Robotics
MIS,585,User Experience Design
IMGD,3101,3d Modeling II
CHE,3201,Kinetics And Reactor Design
WPE,2004,Varsity Field Hockey Team
CS,557,Software Security Design And Analysis
CE,590,SP: Negotiation and Conflict Resolution in the Construction Industry
EDU,2200,Early Fieldwork in STEM Teaching and Community Engagement
ID,2050,SOC SCI RES- IQP: Nantucket (WI)
HI,1314,Introduction To Early American History
MA,3475,Calculus Of Variations
ME,5312,Properties And Performance Of Engineering Materials
SYS,579,ST: Complex Decision Making
ENV,2700,"Social Media, Social Movements, And The Environment"
HI,3314,The American Revolution
ME,593,ST: Extraction and Recycling of Metals
FY,1100,GPS: Smart & Sustainable Cities
WPE,1054,Plyometrics
OIE,3460,Simulation Modeling And Analysis
IMGD,1002,Storytelling In Interactive Media And Games
ECE,524,Advanced Analog Integrated Circuit Design
MA,4235,Mathematical Optimization
EN,2242,Popular Fiction: Reading In Installments
CH,2310,Organic Chemistry I
HU,3900,INQ SEM: Nationalism
RBE,577,Machine Learning for Robotics
HU,3900,INQ SEM: Queer Cinema
HU,1400,Introduction to Africana Studies
ARCH,500,Thesis Research Seminar
ECE,503,Digital Signal Processing
WR,2500,Writing in the Life Sciences
ID,2050,SOC SCI RES- IQP: Prague (WI)
MU,2100,Music Composition
MTE,594,ST: Advanced Surface Engineering
CS,534,Introduction to Artificial Intelligence
ECE,539,ST: Wearable/Mobile Sensors and Systems
CHE,561,Thermodynamics
MA,575,Market and Credit Risk Models and Management
WPE,1210,Club Sport - Men's Ultimate Frisbee Team
HI,2313,"American History, 1789-1877"
BME,531,Biomaterials In The Design Of Medical Devices
CS,577,Advanced Computer And Communications Networks
ID,2050,"SOC SCI RES-IQP: Hong Kong, China"
AE,4320,Fundamentals of Spacecraft Dynamics and Control
CN,1541,Elementary Chinese I
BME,2502,Introduction To Biomechanics: Stress Analysis
DEV,501,Social Innovation and Global Development
MIS,3730,Artificial Intelligence with Business Application
ME,5441,Design For Manufacturability
HU,3900,"INQ SEM IN HUA: Writing, Rhetoric, and Social Justice"
HU,1222,Introduction To Medical Humanities
ID,2050,SOC SCI RES-IQP: Melbourne (WI)
MIS,4720,Systems Analysis And Design
CS,4518,Mobile & Ubiquitous Computing
MTE,526,Advanced Thermodynamics
HU,3900,INQ SEM: The Concept Album: Past and Present
BB,570,ST: Medical Immunology
HI,1311,Introduction To American Urban History
CH,4110,Protein Structure And Function
MPE,510,Classical Mechanics
BME,4814,Biomaterials
ECE,5500,Power System Analysis
DEV,2200,Case Studies In International Development Policy And Engineering
PH,597,ST: Physics Education Research Journal Club
ID,2050,"SOC SCI RES-IQP: Monteverde, Costa Rica (WI)"
AR,1111,Introduction To Art History
HU,3900,INQ SEM IN HUA: Ethics of AI-generated Media
MA,557,Graduate Seminar in Applied Mathematics
SP,1524,Elementary Spanish II
CH,555,ST: AI in Molecular Life Sciences
RE,3711,Topics In Philosophy: Marxism and Capitalism
EDU,500,Foundations of Integrated STEM Education
OBC,1010,Leadership Practice
PH,571,Biophysics/Soft Condensed Matter Journal Club
ME,3902,Project-Based Engineering Experimentation
HU,3900,INQ SEM: Fictions of Time Travel
HU,3900,INQ SEM: History and the Atom
MA,504,Functional Analysis
FY,1100,"GPS: Recover, Reuse"
AB,2531,Intermediate Arabic I
ME,4504,Biomechanics
FY,1101,"GPS: AI, Design, and Society"
HU,3900,INQ SEM: Philosophy
FY,1100,GPS: Power the World
FP,580,SP: Explosion Modeling Practical Applications
ES,1500,Fundamentals of Systems Thinking
BB,504,Molecular Biology of the Cell
CHE,3702,Energy Challenges In The 21st Century
HU,3900,"INQ SEM: History of Biodiversity, Extinction, and Anthropocene Technologies"
MA,503,Lebesgue Measure And Integration
BME,4201,Biomedical Imaging
MA,4644,Introduction to Time Series Analysis
ECE,5540,Power Transmission
HU,3910,PRAC IN HUA: Advanced Studies in Figure Drawing
WPE,1235,Club Sport - Women’s Volleyball
CS,573,Data Visualization
EDU,580,ST: The Storyline Model of Teaching & Learning Science
MFE,594,ST: Machining Processes
ISE,1801,College Writing for English Language Learners
WPE,1233,Club Sport - Men's Basketball
ECE,5106,Modeling Of Electromagnetic Fields In Electrical & Biological Systems
GOV,2319,Global Environmental Politics
BB,1101,Foundations of Cellular and Molecular Biotechnology
MA,574,Portfolio Valuation and Risk Management
ECE,5521,Protective Relaying
CS,525,Topics In Computer Science: Human-AI interface
MTE,5385,Metal Additive Manufacturing
ID,2050,SOC SCI RES-IQP: Ghana (WI)
AE,5531,Applied Computational Methods for Partial Differential Equations
HU,3910,PRAC IN HUA: Publicity & Management (FA25)
ME,5108,Introduction To Computational Fluid Dynamics
ID,1000,Summer Academic Success Program
AR,3333,3d Animation II
HU,3900,INQ SEM: Jewish Immigrant Fiction
CS,4732,Computer Animation
ECE,4023,Biomedical Instrumentation Design
BB,2003,Fundamentals Of Microbiology
CS,571,Case Studies In Computer Security
AR,3200,Interactive Electronic Arts
ME,4503,Computational Biomechanics
ECE,588,Cyber Security Capstone Experience
CS,545,Digital Image Processing
AREN,3024,Building Physics
WPE,1099,Healthy Alternative: Zumba
BME,4011,Biomedical Signal Analysis
MKT,3650,Consumer Behavior
CS,4404,Tools And Techniques In Computer Network Security
ME,5001,Applied Numerical Methods In Engineering
WPE,1222,Club Sport - Men's Soccer
WPE,1070,Leisure Education: Redefining Social Norms
OIE,553,Global Purchasing And Logistics
HU,3910,PRAC IN HUA: Vocal Performance
FIN,3310,Financial Markets and Digital Currencies
MA,3471,Advanced Ordinary Differential Equations
GOV,1303,American Public Policy
PY,2731,Ethics
EN,2219,Creative Writing: Memoir
AREN,2004,Architectural Design II - Light And Lighting Systems
HI,2311,American Colonial History
CS,4341,Introduction To Artificial Intelligence
MKT,565,Digital and Social Media Marketing
TH,3300,ST in Theater Studies: Musical Theatre and Representation
PH,541,Mathematical Methods in Physics
WPE,2008,Varsity Men's Basketball Team
PH,515,Quantum Mechanics II
HU,3900,"INQ SEM: DDT, SILNT SPR, AM ENV"
MU,2411,Jazz Ensemble
SEME,504,"Meta-Cognition, Motivation, And Affect"
EDU,510,Classroom Climate that Supports Diverse STEM Learners
HU,3900,INQ SEM: Integrating the Humanities in STEM Education
WPE,1699,ST in Holistic Well-Being - Sophomore Success: Navigating Your Second Year at WPI.
PY,3721,Topics In Religion: Daoism
ECE,523,Power Electronics
ME,5371,Fundamentals of Surface Metrology
SYS,521,Model Based Systems Engineering
PSY,3211,Positive Psychology: The Science and Practice of Well-Being
HU,3900,"INQ SEM: Sci-Fi, Horror, and Fantasy Writing"
WR,3112,Rhetorical Theory
HU,3900,INQ SEM: Environmental Phil
GOV,3000,Psychology And Law
MU,2201,Sounds of Social Justice
ECE,2311,Continuous-Time Signal And System Analysis
MFE,511,Application Of Industrial Robotics
BME,4507,Skeletal Biomechanics Laboratory: Applications
RBE,550,Motion Planning
AB,2533,Intermediate Arabic III
HI,2310,Topics In Urban History: Civil Rights in the City
WPE,1099,Healthy Alternative
SP,2522,Intermediate Spanish II
ETR,2910,Economics And Entrepreneurship
BB,550,Cancer Biology
BME,553,Biomechanics Of Orthopaedic Devices
MA,4237,Probabilistic Methods In Operations Research
HI,3343,Topics In Asian History: Global China
AR,1400,Digital Photography
ECE,506,Introduction To Local And Wide Area Networks
AE,4520,Spacecraft and Mission Design
BME,4301,Biomedical Capstone - Design from the Margins
MFE,541,Design For Manufacturability
TH,3510,Scenic Fabrication
AR,1101,Digital Imaging And Computer Art
IMGD,2740,3d Environmental Modeling
PSY,590,ST in Psychological Science: Embodied Cognition
MA,4891,ST: Number Theory
BCB,590,ST: Quantitative Biology
FY,1100,GPS: Extinctions
CH,4190,Regulation Of Gene Expression
FP,580,SP: Forensic Techniques
ECE,504,Analysis Of Deterministic Signals And Systems
EN,2410,Screenwriting
NSE,530,Health Physics
WPE,1008,Rowing For Fitness
CH,538,Medicinal Chemistry
PSY,590,ST in Psychological Science: Human Neuroscience and Neurotech
ECE,5522,Advanced Applications In Protective Relaying
CHE,504,Mathematical Analysis In Chemical Engineering
MU,2402,Alden Voices
HU,3900,INQ SEM: Will AI Destroy the World? Critical Theories of Technology
ME,591,Graduate Seminar
MA,4891,Topics In Mathematics
MKT,568,Marketing Analytics
RBE,595,SP - Deep learning for Perception
